question_id,passage_id,answer_id,question,passage,answer,label
170,74:49-50,1.0,يشبه الله تعالى إعراض الكافرين عن القرآن الكريم كأنهم حمر وحشية شديدة النِّفار فرَّت من أسد كاسر.اذكر الآيات الكريمة الدالة على ذلك .,فما لهم عن التذكرة معرضين {49} كأنهم حمر مستنفرة {50} فرت من قسورة {51} المدثر, ,1
171,66:3-5,1.0,ما قصة عائشة وحفصة رضي الله عنهما من تحريم النبي صلى الله عليه وسلملمارية القبطية رضي الله عنها عليه ؟,وإذ أسر النبي إلى بعض أزواجه حديثا فلما نبأت به وأظهره الله عليه عرف بعضه وأعرض عن بعض فلما نبأها به قالت من أنبأك هذا قال نبأني العليم الخبير {3}إن تتوبا إلى الله فقد صغت قلوبكما وإن تظاهرا عليه فإن الله هو مولاه وجبريل وصالح المؤمنين والملائكة بعد ذلك ظهير {4} عسى ربه إن طلقكن أن يبدله أزواجا خيرا منكن مسلمات مؤمنات قانتات تائبات عابدات سائحات ثيبات وأبكارا {5} التحريم,"أسرَّ النبي صلى الله عليه وسلم إلى زوجته حفصة - رضي الله عنها- حديثا وهو تحريم ماريه وقال لها لا تفشيه , فلما أخبرت به عائشة رضي الله عنها, وأطلعه الله على إفشائها سرَّه, أعلم حفصة بعض ما أخبرت به, وأعرض عن إعلامها بعضه تكرما, فلما أخبرها بما أفشت من الحديث, قالت: مَن أخبرك بهذا؟ قال: أخبرني به الله العليم الخبير, الذي لا تخفى عليه خافية. إن ترجعا (حفصة وعائشة) إلى الله فقد وُجد منكما ما يوجب التوبة حيث مالت قلوبكما إلى محبة ما كرهه رسول الله صلى الله عليه وسلم, من إفشاء سرِّه, وإن تتعاونا عليه بما يسوءه, فإن الله وليه وناصره, وجبريل وصالح المؤمنين, والملائكة بعد نصرة الله أعوان له ونصراء على مَن يؤذيه ويعاديه. عسى ربُّه إن طلقكنَّ- أيتها الزوجات- أن يزوِّجه بدلا منكن زوجات خاضعات لله بالطاعة, مؤمنات بالله ورسوله، مطيعات لله, راجعات إلى ما يحبه الله مِن طاعته, كثيرات العبادة له, صائمات, منهنَّ الثيِّبات, ومنهن الأبكار.وَإِذْ أَسَرَّ النَّبِيُّ إِلَى بَعْضِ أَزْوَاجِهِ حَدِيثاً فَلَمَّا نَبَّأَتْ بِهِ وَأَظْهَرَهُ اللَّهُ عَلَيْهِ عَرَّفَ بَعْضَهُ وَأَعْرَضَ عَن بَعْضٍ فَلَمَّا نَبَّأَهَا بِهِ قَالَتْ مَنْ أَنبَأَكَ هَذَا قَالَ نَبَّأَنِيَ الْعَلِيمُ الْخَبِيرُ{3} إِن تَتُوبَا إِلَى اللَّهِ فَقَدْ صَغَتْ قُلُوبُكُمَا وَإِن تَظَاهَرَا عَلَيْهِ فَإِنَّ اللَّهَ هُوَ مَوْلَاهُ وَجِبْرِيلُ وَصَالِحُ الْمُؤْمِنِينَ وَالْمَلَائِكَةُ بَعْدَ ذَلِكَ ظَهِيرٌ{4} عَسَى رَبُّهُ إِن طَلَّقَكُنَّ أَن يُبْدِلَهُ أَزْوَاجاً خَيْراً مِّنكُنَّ مُسْلِمَاتٍ مُّؤْمِنَاتٍ قَانِتَاتٍ تَائِبَاتٍ عَابِدَاتٍ سَائِحَاتٍ ثَيِّبَاتٍ وَأَبْكَاراً{5}التحريم.",1
172,7:33-33,1.0,  ماذا حرم الله تعالى على الناس؟,قل إنما حرم ربي الفواحش ما ظهر منها وما بطن والإثم والبغي بغير الحق وأن تشركوا بالله ما لم ينزل به سلطانا وأن تقولوا على الله ما لا تعلمون{33}الأعراف.,"حرم الله تعالى على الناس :""          - القبائح من الأعمال, ما كان منها ظاهرًا, وما كان خفيًّا.""""          - وحَرَّم المعاصي كلها, ومِن أعظمها الاعتداء على الناس.""""          - وحرَّم أن تعبدوا مع الله تعالى غيره مما لم يُنَزِّل به دليلا وبرهانًا, فإنه لا حجة لفاعل ذلك.""""          - وحرَّم أن تنسبوا إلى الله تعالى ما لم يشرعه افتراءً وكذبًا, كدعوى أن لله ولدًا.""          - وتحريم بعض الحلال من الملابس والمآكل. قُلْ إِنَّمَا حَرَّمَ رَبِّيَ الْفَوَاحِشَ مَا ظَهَرَ مِنْهَا وَمَا بَطَنَ وَالإِثْمَ وَالْبَغْيَ بِغَيْرِ الْحَقِّ وَأَن تُشْرِكُواْ بِاللّهِ مَا لَمْ يُنَزِّلْ بِهِ سُلْطَاناً وَأَن تَقُولُواْ عَلَى اللّهِ مَا لاَ تَعْلَمُونَ{33}الأعراف.",1
173,3:35-35,1.0,  ماذا كانت دعوة امرأة عمران عندما أحست بالحمل بعدما أسنت واشتاقت للولد ؟,إذ قالت امرأة عمران رب إني نذرت لك ما في بطني محررا فتقبل مني إنك أنت السميع العليم{35}آل عمران .,أن تهب ما في بطنها لخدمة بيت الله المقدس . والدليل :إِذْ قَالَتِ امْرَأَةُ عِمْرَانَ رَبِّ إِنِّي نَذَرْتُ لَكَ مَا فِي بَطْنِي مُحَرَّراً فَتَقَبَّلْ مِنِّي إِنَّكَ أَنتَ السَّمِيعُ الْعَلِيمُ{35}آل عمران .,1
174,71:21-24,1.0,ما قصة الأصنام التي كان يعبدها قوم نوح عليه السلام ؟,   قال نوح رب إنهم عصوني واتبعوا من لم يزده ماله وولده إلا خسارا{21} ومكروا مكرا كبارا{22} وقالوا لا تذرن آلهتكم ولا تذرن ودا ولا سواعا ولا يغوث ويعوق ونسرا{23} وقد أضلوا كثيرا ولا تزد الظالمين إلا ضلالا{24} نوح ,"مكر رؤساء الضلال من قوم نوح عليه السلام بتابعيهم من الضعفاء مكرًا عظيمًا, وقالوا لهم: لا تتركوا عبادة آلهتكم إلى عبادة الله وحده, التي يدعو إليها نوح, ولا تتركوا وَدًّا ولا سُواعًا ولا يغوث ويعوق ونَسْرا - وهذه أسماء أصنامهم التي كانوا يعبدونها من دون الله, وكانت أسماء رجال صالحين, لما ماتوا أوحى الشيطان إلى قومهم أن يقيموا لهم التماثيل والصور; لينشطوا- بزعمهم- على الطاعة إذا رأوها, فلما ذهب هؤلاء القوم وطال الأمد, وخَلَفهم غيرهم, وسوس لهم الشيطان بأن أسلافهم كانوا يعبدون التماثيل والصور, ويتوسلون بها, وهذه هي الحكمة من تحريم التماثيل, وتحريم بناء القباب على القبور; لأنها تصير مع تطاول الزمن معبودة للجهال.    قَالَ نُوحٌ رَّبِّ إِنَّهُمْ عَصَوْنِي وَاتَّبَعُوا مَن لَّمْ يَزِدْهُ مَالُهُ وَوَلَدُهُ إِلَّا خَسَاراً{21} وَمَكَرُوا مَكْراً كُبَّاراً{22} وَقَالُوا لَا تَذَرُنَّ آلِهَتَكُمْ وَلَا تَذَرُنَّ وَدّاً وَلَا سُوَاعاً وَلَا يَغُوثَ وَيَعُوقَ وَنَسْراً{23} وَقَدْ أَضَلُّوا كَثِيراً وَلَا تَزِدِ الظَّالِمِينَ إِلَّا ضَلَالاً{24} نوح. ",1
175,8:2-4,1.0,  من هم المؤمنون حقاً ؟,إنما المؤمنون الذين إذا ذكر الله وجلت قلوبهم وإذا تليت عليهم آياته زادتهم إيمانا وعلى ربهم يتوكلون{2} الذين يقيمون الصلاة ومما رزقناهم ينفقون{3} أولـئك هم المؤمنون حقا لهم درجات عند ربهم ومغفرة ورزق كريم{4}الأنفال.,"إنما المؤمنون بالله حقًا هم الذين إذا ذُكِر الله فزعت قلوبهم, وإذا تليت عليهم آيات القرآن زادتهم إيمانًا مع إيمانهم, لتدبرهم لمعانيه وعلى الله تعالى يتوكلون, فلا يرجون غيره, ولا يرهبون سواه.الذين يداومون على أداء الصلوات المفروضة في أوقاتها, ومما رزقناهم من الأموال ينفقون فيما أمرناهم به.إِنَّمَا الْمُؤْمِنُونَ الَّذِينَ إِذَا ذُكِرَ اللّهُ وَجِلَتْ قُلُوبُهُمْ وَإِذَا تُلِيَتْ عَلَيْهِمْ آيَاتُهُ زَادَتْهُمْ إِيمَاناً وَعَلَى رَبِّهِمْ يَتَوَكَّلُونَ{2} الَّذِينَ يُقِيمُونَ الصَّلاَةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ{3} أُوْلَـئِكَ هُمُ الْمُؤْمِنُونَ حَقّاً لَّهُمْ دَرَجَاتٌ عِندَ رَبِّهِمْ وَمَغْفِرَةٌ وَرِزْقٌ كَرِيمٌ{4}الأنفال.",1
176,6:38-38,1.0,  هل بني آدم هم فقط الذين لهم حياة اجتماعية في الدنيا ؟,وما من دآبة في الأرض ولا طائر يطير بجناحيه إلا أمم أمثالكم ما فرطنا في الكتاب من شيء ثم إلى ربهم يحشرون{38}الأنعام.,لا  فكل الحيوانات أو الطيور أو الكائنات الأخرى لها حياة خاصة بها مثل الإنسان. وَمَا مِن دَآبَّةٍ فِي الأَرْضِ وَلاَ طَائِرٍ يَطِيرُ بِجَنَاحَيْهِ إِلاَّ أُمَمٌ أَمْثَالُكُم مَّا فَرَّطْنَا فِي الكِتَابِ مِن شَيْءٍ ثُمَّ إِلَى رَبِّهِمْ يُحْشَرُونَ{38}الأنعام.,1
177,5:111-115,1.0, اذكر آيات قصة المائدة ؟,وإذ أوحيت إلى الحواريين أن آمنوا بي وبرسولي قالوا آمنا واشهد بأننا مسلمون{111} إذ قال الحواريون يا عيسى ابن مريم هل يستطيع ربك أن ينزل علينا مآئدة من السماء قال اتقوا الله إن كنتم مؤمنين{112} قالوا نريد أن نأكل منها وتطمئن قلوبنا ونعلم أن قد صدقتنا ونكون عليها من الشاهدين{113} قال عيسى ابن مريم اللهم ربنا أنزل علينا مآئدة من السماء تكون لنا عيدا لأولنا وآخرنا وآية منك وارزقنا وأنت خير الرازقين{114} قال الله إني منزلها عليكم فمن يكفر بعد منكم فإني أعذبه عذابا لا أعذبه أحدا من العالمين{115}المائدة.,"قال الحواريون: يا عيسى ابن مريم هل يستطيع ربك إن سألته أن ينزل علينا مائدة طعام من السماء؟ فكان جوابه أن أمرهم بأن يتقوا عذاب الله تعالى, إن كانوا مؤمنين حقَّ الإيمان. قال الحواريون: نريد أن نأكل من المائدة وتسكن قلوبنا لرؤيتها, ونعلم يقينا صدقك في نبوتك, وأن نكون من الشاهدين على هذه الآية أن الله أنزلها حجة له علينا في توحيده وقدرته على ما يشاء, وحجة لك على صدقك في نبوتك. أجاب عيسى ابن مريم طلب الحواريين فدعا ربه جل وعلا قائلا ربنا أنزل علينا مائدة طعام من السماء, نتخذ يوم نزولها عيدًا لنا, نعظمه نحن ومَن بعدنا, وتكون المائدة علامة وحجة منك يا ألله على وحدانيتك وعلى صدق نبوتي, وامنحنا من عطائك الجزيل, وأنت خير الرازقين. قال الله تعالى: إني منزل مائدة الطعام عليكم, فمن يجحد منكم وحدانيتي ونبوة عيسى عليه السلام بعد نزول المائدة فإني أعذبه عذابًا شديدًا, لا أعذبه أحدًا من العالمين. وقد نزلت المائدة كما وعد الله. وَإِذْ أَوْحَيْتُ إِلَى الْحَوَارِيِّينَ أَنْ آمِنُواْ بِي وَبِرَسُولِي قَالُوَاْ آمَنَّا وَاشْهَدْ بِأَنَّنَا مُسْلِمُونَ{111} إِذْ قَالَ الْحَوَارِيُّونَ يَا عِيسَى ابْنَ مَرْيَمَ هَلْ يَسْتَطِيعُ رَبُّكَ أَن يُنَزِّلَ عَلَيْنَا مَآئِدَةً مِّنَ السَّمَاءِ قَالَ اتَّقُواْ اللّهَ إِن كُنتُم مُّؤْمِنِينَ{112} قَالُواْ نُرِيدُ أَن نَّأْكُلَ مِنْهَا وَتَطْمَئِنَّ قُلُوبُنَا وَنَعْلَمَ أَن قَدْ صَدَقْتَنَا وَنَكُونَ عَلَيْهَا مِنَ الشَّاهِدِينَ{113} قَالَ عِيسَى ابْنُ مَرْيَمَ اللَّهُمَّ رَبَّنَا أَنزِلْ عَلَيْنَا مَآئِدَةً مِّنَ السَّمَاءِ تَكُونُ لَنَا عِيداً لِّأَوَّلِنَا وَآخِرِنَا وَآيَةً مِّنكَ وَارْزُقْنَا وَأَنتَ خَيْرُ الرَّازِقِينَ{114} قَالَ اللّهُ إِنِّي مُنَزِّلُهَا عَلَيْكُمْ فَمَن يَكْفُرْ بَعْدُ مِنكُمْ فَإِنِّي أُعَذِّبُهُ عَذَاباً لاَّ أُعَذِّبُهُ أَحَداً مِّنَ الْعَالَمِينَ{115}المائدة.",1
178,11:9-11,1.0," أذا أعطى الله الإنسان نعمة ثم سلبها منه, إنه لَشديد اليأس من رحمة الله و جَحود بالنعم التي أنعم الله بها عليه و أذا بسط الله له الرزق بعد ضيق من العيش بَطِر بالنعم.هل كل البشر بهذه الكيفية ؟",ولئن أذقنا الإنسان منا رحمة ثم نزعناها منه إنه ليؤوس كفور{9} ولئن أذقناه نعماء بعد ضراء مسته ليقولن ذهب السيئات عني إنه لفرح فخور{10} إلا الذين صبروا وعملوا الصالحات أولـئك لهم مغفرة وأجر كبير{11}هود.,"الذين صبروا على ما أصابهم من الضراء إيمانًا بالله واحتسابًا للأجر عنده, وعملوا الصالحات شكرا لله على نعمه, هؤلاء لهم مغفرة لذنوبهم وأجركبير. وَلَئِنْ أَذَقْنَا الإِنْسَانَ مِنَّا رَحْمَةً ثُمَّ نَزَعْنَاهَا مِنْهُ إِنَّهُ لَيَؤُوسٌ كَفُورٌ{9} وَلَئِنْ أَذَقْنَاهُ نَعْمَاء بَعْدَ ضَرَّاء مَسَّتْهُ لَيَقُولَنَّ ذَهَبَ السَّيِّئَاتُ عَنِّي إِنَّهُ لَفَرِحٌ فَخُورٌ{10} إِلاَّ الَّذِينَ صَبَرُواْ وَعَمِلُواْ الصَّالِحَاتِ أُوْلَـئِكَ لَهُم مَّغْفِرَةٌ وَأَجْرٌ كَبِيرٌ{11}هود.",1
179,26:192-196,1.0, بأي لغة نزل القرأن الكريم ؟,إنه لتنزيل رب العالمين{192} نزل به الروح الأمين{193} على قلبك لتكون من المنذرين{194} بلسان عربي مبين{195} وإنه لفي زبر الأولين {196} الشعراء.,باللغة العربية الفصحى . إِنَّهُ لَتَنزِيلُ رَبِّ الْعَالَمِينَ{192} نَزَلَ بِهِ الرُّوحُ الْأَمِينُ{193} عَلَى قَلْبِكَ لِتَكُونَ مِنَ الْمُنذِرِينَ{194} بِلِسَانٍ عَرَبِيٍّ مُّبِينٍ{195} وَإِنَّهُ لَفِي زُبُرِ الْأَوَّلِينَ{196} الشعراء.,1
